id,topic,hotpot_type,original_question,expected_answer,parsed_answer,parsed_confidence,parsed_abstained,eval_answer_correct,eval_token_f1,eval_error_type,retrieved_titles
hotpotqa_mini_0000,geography,comparison,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"No. La Laleli Mosque está ubicada en Laleli, Fatih, mientras que Esma Sultan Mansion está en el barrio de Ortaköy.",0.95,False,True,0.1538,correct,Esma Sultan Mansion|Laleli Mosque|Sultan Ahmed Mosque|Djamaâ el Kebir|Esma Sultan (daughter of Abdülaziz)
hotpotqa_mini_0001,geography,bridge,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","No hay información suficiente en el contexto recuperado para determinar en qué ciudad de Nueva York está basada la directora de ""Big Stone Gap"".",0.0,True,False,0.1053,wrong_abstention_with_partial_retrieval,Big Stone Gap (film)|I Love NY (2015 film)|Nola (film)|Drive Angry|Great Eastern Conventions
hotpotqa_mini_0002,geography,bridge,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated (4,000 total capacity).",0.95,False,True,0.5714,correct,Lewiston Maineiacs|Dwyer Arena|Androscoggin Bank Colisée|Case Gym|Robins Center
hotpotqa_mini_0003,geography,comparison,Are Local H and For Against both from the United States?,yes,No hay información suficiente para determinar si ambos son de Estados Unidos; el contexto solo indica que Local H es una banda estadounidense.,0.7,True,False,0.0,wrong_abstention_with_partial_retrieval,Local H|Mendocino County GMO Ban|Loan modification in the United States|Loan modification in the United States|Kansas City metropolitan area
hotpotqa_mini_0004,geography,bridge,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song (We’re From Kansas),0.95,False,True,0.8,correct,Kansas Song|University of Kansas|Downtown Kansas City|Kansas City jazz|University of Missouri–Kansas City
hotpotqa_mini_0005,geography,comparison,Are Random House Tower and 888 7th Avenue both used for real estate?,no,No hay información suficiente para afirmarlo; habría que aclarar qué significa “usados para real estate”.,0.3,True,False,0.1818,wrong_abstention_despite_full_retrieval,Random House Tower|888 7th Avenue|Villard (imprint)|Real estate technology|Wilford H. Fawcett House
hotpotqa_mini_0006,geography,bridge,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",No hay información suficiente en el contexto recuperado para determinar la población del país.,0.0,True,False,0.0,wrong_abstention_with_partial_retrieval,Brown State Fishing Lake|Fishing Lake|Shawnee State Fishing Lake|Neosho State Fishing Lake|Commanda Lake
hotpotqa_mini_0007,geography,bridge,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,No hay información suficiente en el contexto recuperado para indicar los años en que sirvió ese presidente.,0.0,True,False,0.0,wrong_abstention_with_partial_retrieval,Roger O. Egeberg|Robert Hormats|Bradford P. Campbell|Edward D. Martin|Office of Population Affairs
hotpotqa_mini_0008,geography,comparison,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,Robert Erskine Childers.,0.8,False,True,0.8571,correct,Robert Erskine Childers|Erskine Barton Childers|Henry Roth|Robert Caesar Childers|Robert Barton
hotpotqa_mini_0009,geography,bridge,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,0.95,False,True,1.0,correct,Formula One drivers from Mexico|Sergio Pérez|Eduardo Troconis|Michael James Lewis|2009 Singapore Grand Prix
