doc_id,chunk_id,title,text,source,source_split,topic,question_id,original_hotpotqa_id,paragraph_index,is_gold_evidence,source_system,s2_corpus_role
hotpotqa_mini_0000_doc_00,hotpotqa_mini_0000_chunk_00,Esma Sultan (daughter of Abdülaziz),"Esma Sultan (21 March 1873 – 7 May 1899) was an Ottoman princess, the daughter of Sultan Abdülaziz and his wife Gevheri Kadın, herself the daughter of Salih Bey Svatnba. She was the half-sister of Abdülmecid II, the last Caliph of the Muslim world.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,0,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_01,hotpotqa_mini_0000_chunk_01,Djamaâ el Kebir,"The Great Mosque of Algiers (Arabic: الجامع الكبير‎ ‎ , ""Jemaa Kebir"") or “Djama’a al-Kebir” (meaning Great Mosque) is a mosque in Algiers, Algeria, located very close to Algiers Harbor. An inscription on the minbar (منبر) or the pulpit testifies to fact that the mosque was built in 1097. It is also known by several other names such as Grand Mosque d'Alger, Djamaa al-Kebir, El Kebir Mosque and Jami Masjid. It is one of the few remaining examples of Almoravid architecture. It is the oldest mosque in Algiers and is said to be the oldest mosque in Algeria after Sidi Okba Mosque. It was built under sultan Ali ibn Yusuf. Its minaret dates from 1332 (1324 in some sources) and was built by the Ziyyanid Sultan of Tlemcen. The gallery at the outside of the mosque was built in 1840. Its construction was a consequence of a complete reconstruction of the street by the French.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,1,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_02,hotpotqa_mini_0000_chunk_02,Küçük Hüseyin Pasha,"Küçük Hüseyin Pasha (1757 – 7 December 1803), also known as Tayazade Damat Küçük Hüseyin Pasha, was an Ottoman statesman and admiral who was Kapudan Pasha (Grand Admiral of the Ottoman Navy) from 11 March 1792 to 7 December 1803. He was a ""damat"" (""bridegroom"") to the Ottoman dynasty after he married an Ottoman princess, Esma Sultan.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,2,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_03,hotpotqa_mini_0000_chunk_03,Esma Sultan (daughter of Abdul Hamid I),"Esma Sultan (17 July 1778 – 4 June 1848) was an Ottoman princess, daughter of Sultan Abdul Hamid I, sister of Sultan Mustafa IV and Sultan Mahmud II. She was the adoptive mother of Bezmiâlem Sultan and Rahime Perestu Sultan.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,3,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_04,hotpotqa_mini_0000_chunk_04,Sultan Ahmed Mosque,"The Sultan Ahmed Mosque or Sultan Ahmet Mosque (Turkish: ""Sultan Ahmet Camii"" ) is a historic mosque located in Istanbul, Turkey. A popular tourist site, the Sultan Ahmed Mosque continues to function as a mosque today; men still kneel in prayer on the mosque's lush red carpet after the call to prayer. The Blue Mosque, as it is popularly known, was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed's tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes. It sits next to the Hagia Sophia, another popular tourist site.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,4,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_05,hotpotqa_mini_0000_chunk_05,Laleli Mosque,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,5,True,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_06,hotpotqa_mini_0000_chunk_06,Esma Sultan Mansion,"The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,6,True,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_07,hotpotqa_mini_0000_chunk_07,Esma Sultan,Esma Sultan is the name of three daughters of three Ottoman Sultans:,hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,7,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_08,hotpotqa_mini_0000_chunk_08,Gevheri Kadın,Gevheri Kadın (8 July 1856 – 6 September 1884) was the fifth wife of 32nd Ottoman Sultan Abdülaziz. She was the mother of Şehzade Mehmed Seyfeddin and Esma Sultan of the Ottoman Empire.,hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,8,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0000_doc_09,hotpotqa_mini_0000_chunk_09,Esma Sultan (daughter of Ahmed III),"Esma Sultan (14 March 1726 – 13 August 1788) was an Ottoman princess, daughter of Sultan Ahmed III and his consort Zeynep Kadın. She was the half-sister of Sultan Mustafa III and Abdul Hamid I.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0000,5adbf0a255429947ff17385a,9,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_00,hotpotqa_mini_0001_chunk_00,Just Another Romantic Wrestling Comedy,"Just Another Romantic Wrestling Comedy is a 2006 film starring April Hunter and Joanie Laurer. This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was released on DVD in the United States and the United Kingdom on April 17, 2007. After the film's DVD release ""Just Another Romantic Wrestling Comedy"" won an ""Honorable Mention"" award at the New Jersey International Festival awards. The release is being handled by ""Victory Multimedia"".",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,0,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_01,hotpotqa_mini_0001_chunk_01,Kingston Morning,"Kingston Morning is Dave Eggar's 4th solo release recorded in Brooklyn, New York; Kingston, Jamaica; and Big Stone Gap, Virginia; and released by Domo Records. ""Itsbynne Reel"" was nominated at the 53rd Grammy Awards for ""Best Instrumental Arrangement"".",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,1,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_02,hotpotqa_mini_0001_chunk_02,Nola (film),"Nola is a 2003 American romantic comedy film written and directed by Alan Hruska. It depicts the struggle of a young woman trying to survive in New York City while looking for her birth father. It premiered in New York City on July 23, 2004.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,2,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_03,hotpotqa_mini_0001_chunk_03,Adriana Trigiani,"Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City. Trigiani has published a novel a year since 2000.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,3,True,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_04,hotpotqa_mini_0001_chunk_04,Great Eastern Conventions,"Great Eastern Conventions, Inc. was an entertainment company which produced comic book conventions, most actively during the years 1987-1996. In New York City, the Great Eastern shows filled the gap between the mid-1980s demise of the annual Comic Art Convention and Creation Conventions, and the establishment of promoter Michael Carbonaro's annual Big Apple Comic Con in 1996. From 1993–1995, Great Eastern hosted two New York City shows annually at the Jacob K. Javits Convention Center. Great Eastern also ran shows in New Jersey, Pennsylvania, Massachusetts, Oregon, Minnesota, and Texas.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,4,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_05,hotpotqa_mini_0001_chunk_05,New York Society of Model Engineers,"The New York Society of Model Engineers (NYSME) was originally incorporated in 1926 in New York City. There are published records that show the Society existed as early as 1905. In its early years, the organization moved to and from various locations throughout Manhattan. AT that time it was basically a gentlemen's club of members who were interested in all types of model building. In 1926 the Society was formalized and incorporated under the laws of the State of New York. This was done so that the Society could obtain a permit to use a lake in New York City's Central Park for model motor boat races. It was also at this time that the Society began construction of its first Model Railroad "" The Union Connecting"". Over the next twenty years, the Society moved from its original location to two other locations. Each move doubling the size of the previous location and of course doubling the size of the model train layout. During WW2 many Society members were called to service in the Armed Forces. Regrettably, the largest of the layouts had to be dismantled. The location of the layout in the basement of the Astor Building was requested for the war effort. The dismantling was done with care, with salvaged usable materials going into scrap drives for the War effort. As members returned after the War a new location was searched for. This led to an invitation from the Lackawanna Railroad to move into their Passenger Terminal in Hoboken,NJ. They had the space for what would become the largest model railroad in the world at that time. The space? Only the ornate waiting room for the recently discontinued ferry boats to 23rd Street in New York City. Here the layout was built. It was based on the Lackawanna Railroad from Hoboken to Scranton, Pa. It was magnificent; from the scale model of the Hoboken Terminal to the soaring Delaware Water Gap. During the early-1950s the organization moved to its current location in Carlstadt, New Jersey.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,5,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_06,hotpotqa_mini_0001_chunk_06,"Clinton, Minnesota","Clinton is a city in Big Stone County, Minnesota, United States. The city was named for New York Governor DeWitt Clinton. The population was 449 at the 2010 census.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,6,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_07,hotpotqa_mini_0001_chunk_07,Hamish and Andy's Gap Year,"Hamish & Andy's Gap Year is a Logie Award winning comedy series following Hamish Blake and Andy Lee, a pair of Australian comedians, on their trips to various international locations. The first season saw the boys visiting America for ten episodes and broadcast their show weekly from New York City. In its second season in 2012, the show was titled ""Hamish & Andy's Euro Gap Year"" and seven episodes were broadcast from The Lord Stanley, a disused pub in East London, England. The third season known as ""Hamish and Andy's Gap Year Asia"" in 2013 was broadcast from a bar in Bangkok, Thailand, called 'The Raintree'.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,7,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_08,hotpotqa_mini_0001_chunk_08,I Love NY (2015 film),"I Love NY, also known as I Love New Year, is an Indian romantic comedy film directed by Radhika Rao and Vinay Sapru starring Sunny Deol and Kangana Ranaut in lead roles. The film is produced by Bhushan Kumar and Krishan Kumar under the banner of Super Cassettes Industries Ltd. The film was extensively shot in Mumbai, New York City and Bangkok. The main plot was taken from the Russian romantic comedy ""The Irony of Fate"" (1976). After numerous delays, the film released on 10 July 2015.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,8,False,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0001_doc_09,hotpotqa_mini_0001_chunk_09,Big Stone Gap (film),"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society. Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s. The film had its world premiere at the Virginia Film Festival on November 6, 2014.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0001,5a8e3ea95542995a26add48d,9,True,S1_hotpotqa_mini,shared_retrieval_corpus
hotpotqa_mini_0002_doc_00,hotpotqa_mini_0002_chunk_00,Billings Bulls,"The Billings Bulls were a junior ice hockey organization based in Billings, Montana. They most recently played home games at the 550-seat Centennial Ice Arena and due to the arena's small size, the Bulls frequently sold out games. They previously played their home games in the Metrapark which had a max capacity of 9,000 for hockey games. However, a negotiating dispute with arena officials and local county commissioners resulted in the team losing its lease.",hotpotqa_huggingface_distractor,validation,geography,hotpotqa_mini_0002,5a87ab905542996e4f3088c1,0,False,S1_hotpotqa_mini,shared_retrieval_corpus
