question_id,query,n_gold,gold_chunk_ids,retrieved_chunk_ids,retrieved_titles,retrieved_scores,matched_gold_chunk_ids,hit_at_k,recall_at_k,precision_at_k,mrr_at_k,first_hit_rank,topic,hotpot_type,level,expected_answer,original_question
hotpotqa_mini_0000,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,2,hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06,hotpotqa_mini_0000_chunk_06|hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_04|hotpotqa_mini_0000_chunk_01|hotpotqa_mini_0000_chunk_00,Esma Sultan Mansion|Laleli Mosque|Sultan Ahmed Mosque|Djamaâ el Kebir|Esma Sultan (daughter of Abdülaziz),0.688997|0.630795|0.526103|0.518195|0.515703,hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06,True,1.0,0.4,1.0,1,geography,comparison,hard,no,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
hotpotqa_mini_0001,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",2,hotpotqa_mini_0001_chunk_03|hotpotqa_mini_0001_chunk_09,hotpotqa_mini_0001_chunk_09|hotpotqa_mini_0001_chunk_08|hotpotqa_mini_0001_chunk_02|hotpotqa_mini_0015_chunk_06|hotpotqa_mini_0001_chunk_04,Big Stone Gap (film)|I Love NY (2015 film)|Nola (film)|Drive Angry|Great Eastern Conventions,0.720658|0.327374|0.304549|0.302057|0.292323,hotpotqa_mini_0001_chunk_09,True,0.5,0.2,1.0,1,geography,bridge,hard,"Greenwich Village, New York City","The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?"
hotpotqa_mini_0002,The arena where the Lewiston Maineiacs played their home games can seat how many people?,2,hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_07,hotpotqa_mini_0002_chunk_07|hotpotqa_mini_0002_chunk_08|hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_04|hotpotqa_mini_0002_chunk_01,Lewiston Maineiacs|Dwyer Arena|Androscoggin Bank Colisée|Case Gym|Robins Center,0.517773|0.512063|0.418061|0.380183|0.353336,hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_07,True,1.0,0.4,1.0,1,geography,bridge,hard,"3,677 seated",The arena where the Lewiston Maineiacs played their home games can seat how many people?
hotpotqa_mini_0003,Are Local H and For Against both from the United States?,2,hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_06,hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_00|hotpotqa_mini_0002_chunk_03|hotpotqa_mini_0005_chunk_08|hotpotqa_mini_0004_chunk_06,Local H|Mendocino County GMO Ban|Loan modification in the United States|Loan modification in the United States|Kansas City metropolitan area,0.414819|0.347998|0.205927|0.205927|0.191379,hotpotqa_mini_0003_chunk_04,True,0.5,0.2,1.0,1,geography,comparison,hard,yes,Are Local H and For Against both from the United States?
hotpotqa_mini_0004,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",2,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09|hotpotqa_mini_0004_chunk_05|hotpotqa_mini_0004_chunk_02|hotpotqa_mini_0004_chunk_01,Kansas Song|University of Kansas|Downtown Kansas City|Kansas City jazz|University of Missouri–Kansas City,0.731965|0.626235|0.453814|0.415815|0.405143,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09,True,1.0,0.4,1.0,1,geography,bridge,hard,Kansas Song,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?"
hotpotqa_mini_0005,Are Random House Tower and 888 7th Avenue both used for real estate?,2,hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04,hotpotqa_mini_0005_chunk_04|hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_02|hotpotqa_mini_0005_chunk_07|hotpotqa_mini_0003_chunk_05,Random House Tower|888 7th Avenue|Villard (imprint)|Real estate technology|Wilford H. Fawcett House,0.657936|0.546944|0.344663|0.290214|0.251673,hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04,True,1.0,0.4,1.0,1,geography,comparison,hard,no,Are Random House Tower and 888 7th Avenue both used for real estate?
hotpotqa_mini_0006,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,2,hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_09,hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_00|hotpotqa_mini_0006_chunk_05|hotpotqa_mini_0006_chunk_03|hotpotqa_mini_0006_chunk_08,Brown State Fishing Lake|Fishing Lake|Shawnee State Fishing Lake|Neosho State Fishing Lake|Commanda Lake,0.642864|0.544968|0.491799|0.469432|0.441056,hotpotqa_mini_0006_chunk_02,True,0.5,0.2,1.0,1,geography,bridge,hard,"9,984",Brown State Fishing Lake is in a country that has a population of how many inhabitants ?
hotpotqa_mini_0007,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,2,hotpotqa_mini_0007_chunk_02|hotpotqa_mini_0007_chunk_08,hotpotqa_mini_0007_chunk_08|hotpotqa_mini_0007_chunk_05|hotpotqa_mini_0007_chunk_06|hotpotqa_mini_0007_chunk_09|hotpotqa_mini_0007_chunk_07,Roger O. Egeberg|Robert Hormats|Bradford P. Campbell|Edward D. Martin|Office of Population Affairs,0.771743|0.471281|0.382432|0.381649|0.365806,hotpotqa_mini_0007_chunk_08,True,0.5,0.2,1.0,1,geography,bridge,hard,1969 until 1974,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?
hotpotqa_mini_0008,"Which writer was from England, Henry Roth or Robert Erskine Childers?",2,hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_06,hotpotqa_mini_0008_chunk_06|hotpotqa_mini_0008_chunk_08|hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_05|hotpotqa_mini_0008_chunk_09,Robert Erskine Childers|Erskine Barton Childers|Henry Roth|Robert Caesar Childers|Robert Barton,0.667796|0.652770|0.518511|0.490698|0.462022,hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_06,True,1.0,0.4,1.0,1,geography,comparison,hard,Robert Erskine Childers DSC,"Which writer was from England, Henry Roth or Robert Erskine Childers?"
hotpotqa_mini_0009,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,2,hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_08,hotpotqa_mini_0009_chunk_08|hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_04|hotpotqa_mini_0009_chunk_02|hotpotqa_mini_0009_chunk_00,Formula One drivers from Mexico|Sergio Pérez|Eduardo Troconis|Michael James Lewis|2009 Singapore Grand Prix,0.716754|0.575887|0.513601|0.489787|0.455737,hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_08,True,1.0,0.4,1.0,1,geography,bridge,hard,Pedro Rodríguez,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?
