question_id,query,n_gold,gold_chunk_ids,retrieved_chunk_ids,retrieved_titles,retrieved_scores,matched_gold_chunk_ids,hit_at_k,recall_at_k,precision_at_k,mrr_at_k,first_hit_rank,topic,hotpot_type,level,expected_answer,original_question
hotpotqa_mini_0000,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,2,hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06,hotpotqa_mini_0000_chunk_06|hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_04,Esma Sultan Mansion|Laleli Mosque|Sultan Ahmed Mosque,0.688997|0.630795|0.526103,hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06,True,1.0,0.6666666666666666,1.0,1.0,geography,comparison,hard,no,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
hotpotqa_mini_0001,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",2,hotpotqa_mini_0001_chunk_03|hotpotqa_mini_0001_chunk_09,hotpotqa_mini_0001_chunk_09|hotpotqa_mini_0001_chunk_08|hotpotqa_mini_0001_chunk_02,Big Stone Gap (film)|I Love NY (2015 film)|Nola (film),0.720658|0.327374|0.304549,hotpotqa_mini_0001_chunk_09,True,0.5,0.3333333333333333,1.0,1.0,geography,bridge,hard,"Greenwich Village, New York City","The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?"
hotpotqa_mini_0002,The arena where the Lewiston Maineiacs played their home games can seat how many people?,2,hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_07,hotpotqa_mini_0002_chunk_07|hotpotqa_mini_0002_chunk_08|hotpotqa_mini_0002_chunk_05,Lewiston Maineiacs|Dwyer Arena|Androscoggin Bank Colisée,0.517773|0.512063|0.418061,hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_07,True,1.0,0.6666666666666666,1.0,1.0,geography,bridge,hard,"3,677 seated",The arena where the Lewiston Maineiacs played their home games can seat how many people?
hotpotqa_mini_0003,Are Local H and For Against both from the United States?,2,hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_06,hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_00|hotpotqa_mini_0002_chunk_03,Local H|Mendocino County GMO Ban|Loan modification in the United States,0.414819|0.347998|0.205927,hotpotqa_mini_0003_chunk_04,True,0.5,0.3333333333333333,1.0,1.0,geography,comparison,hard,yes,Are Local H and For Against both from the United States?
hotpotqa_mini_0004,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",2,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09|hotpotqa_mini_0004_chunk_05,Kansas Song|University of Kansas|Downtown Kansas City,0.731965|0.626235|0.453814,hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09,True,1.0,0.6666666666666666,1.0,1.0,geography,bridge,hard,Kansas Song,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?"
hotpotqa_mini_0005,Are Random House Tower and 888 7th Avenue both used for real estate?,2,hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04,hotpotqa_mini_0005_chunk_04|hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_02,Random House Tower|888 7th Avenue|Villard (imprint),0.657936|0.546944|0.344663,hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04,True,1.0,0.6666666666666666,1.0,1.0,geography,comparison,hard,no,Are Random House Tower and 888 7th Avenue both used for real estate?
hotpotqa_mini_0006,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,2,hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_09,hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_00|hotpotqa_mini_0006_chunk_05,Brown State Fishing Lake|Fishing Lake|Shawnee State Fishing Lake,0.642864|0.544968|0.491799,hotpotqa_mini_0006_chunk_02,True,0.5,0.3333333333333333,1.0,1.0,geography,bridge,hard,"9,984",Brown State Fishing Lake is in a country that has a population of how many inhabitants ?
hotpotqa_mini_0007,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,2,hotpotqa_mini_0007_chunk_02|hotpotqa_mini_0007_chunk_08,hotpotqa_mini_0007_chunk_08|hotpotqa_mini_0007_chunk_05|hotpotqa_mini_0007_chunk_06,Roger O. Egeberg|Robert Hormats|Bradford P. Campbell,0.771743|0.471281|0.382432,hotpotqa_mini_0007_chunk_08,True,0.5,0.3333333333333333,1.0,1.0,geography,bridge,hard,1969 until 1974,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?
hotpotqa_mini_0008,"Which writer was from England, Henry Roth or Robert Erskine Childers?",2,hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_06,hotpotqa_mini_0008_chunk_06|hotpotqa_mini_0008_chunk_08|hotpotqa_mini_0008_chunk_01,Robert Erskine Childers|Erskine Barton Childers|Henry Roth,0.667796|0.652770|0.518511,hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_06,True,1.0,0.6666666666666666,1.0,1.0,geography,comparison,hard,Robert Erskine Childers DSC,"Which writer was from England, Henry Roth or Robert Erskine Childers?"
hotpotqa_mini_0009,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,2,hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_08,hotpotqa_mini_0009_chunk_08|hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_04,Formula One drivers from Mexico|Sergio Pérez|Eduardo Troconis,0.716754|0.575887|0.513601,hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_08,True,1.0,0.6666666666666666,1.0,1.0,geography,bridge,hard,Pedro Rodríguez,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?
hotpotqa_mini_0010,Were Scott Derrickson and Ed Wood of the same nationality?,2,hotpotqa_mini_0010_chunk_01|hotpotqa_mini_0010_chunk_04,hotpotqa_mini_0010_chunk_04|hotpotqa_mini_0010_chunk_00|hotpotqa_mini_0010_chunk_06,Ed Wood|Ed Wood (film)|Adam Collis,0.512322|0.459341|0.309698,hotpotqa_mini_0010_chunk_04,True,0.5,0.3333333333333333,1.0,1.0,entertainment,comparison,hard,yes,Were Scott Derrickson and Ed Wood of the same nationality?
hotpotqa_mini_0011,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,2,hotpotqa_mini_0011_chunk_01|hotpotqa_mini_0011_chunk_06,hotpotqa_mini_0011_chunk_06|hotpotqa_mini_0011_chunk_05|hotpotqa_mini_0011_chunk_03,Kiss and Tell (1945 film)|A Kiss for Corliss|Meet Corliss Archer (TV series),0.675512|0.562415|0.527208,hotpotqa_mini_0011_chunk_06,True,0.5,0.3333333333333333,1.0,1.0,entertainment,bridge,hard,Chief of Protocol,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
hotpotqa_mini_0012,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",2,hotpotqa_mini_0012_chunk_02|hotpotqa_mini_0012_chunk_08,hotpotqa_mini_0012_chunk_08|hotpotqa_mini_0012_chunk_01|hotpotqa_mini_0012_chunk_02,Animorphs|Victoria Hanley|The Hork-Bajir Chronicles,0.456662|0.443040|0.429764,hotpotqa_mini_0012_chunk_02|hotpotqa_mini_0012_chunk_08,True,1.0,0.6666666666666666,1.0,1.0,entertainment,bridge,hard,Animorphs,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?"
hotpotqa_mini_0013,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2,hotpotqa_mini_0013_chunk_02|hotpotqa_mini_0013_chunk_04,hotpotqa_mini_0013_chunk_02|hotpotqa_mini_0013_chunk_09|hotpotqa_mini_0013_chunk_08,2014 S/S|BTS discography|Seventeen discography,0.857720|0.612854|0.549344,hotpotqa_mini_0013_chunk_02,True,0.5,0.3333333333333333,1.0,1.0,entertainment,bridge,hard,YG Entertainment,2014 S/S is the debut album of a South Korean boy group that was formed by who?
hotpotqa_mini_0014,"Who is older, Annie Morton or Terry Richardson?",2,hotpotqa_mini_0014_chunk_00|hotpotqa_mini_0014_chunk_02,hotpotqa_mini_0014_chunk_09|hotpotqa_mini_0014_chunk_00|hotpotqa_mini_0014_chunk_03,Kenton Richardson|Annie Morton|Lady Gaga x Terry Richardson,0.424369|0.408363|0.370277,hotpotqa_mini_0014_chunk_00,True,0.5,0.3333333333333333,0.5,2.0,entertainment,bridge,hard,Terry Richardson,"Who is older, Annie Morton or Terry Richardson?"
hotpotqa_mini_0015,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",2,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09|hotpotqa_mini_0015_chunk_02,David Weissman|The Family Man|Time to Kill (1989 film),0.555107|0.467785|0.413668,hotpotqa_mini_0015_chunk_03|hotpotqa_mini_0015_chunk_09,True,1.0,0.6666666666666666,1.0,1.0,entertainment,bridge,hard,David Weissman,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?"
hotpotqa_mini_0016,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,2,hotpotqa_mini_0016_chunk_07|hotpotqa_mini_0016_chunk_08,hotpotqa_mini_0016_chunk_01|hotpotqa_mini_0016_chunk_00|hotpotqa_mini_0016_chunk_03,Guns N' Roses discography|Arnold Schwarzenegger filmography|Steven Adler,0.523871|0.501343|0.472705,,False,0.0,0.0,0.0,,entertainment,bridge,hard,1999,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?
hotpotqa_mini_0017,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,2,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05|hotpotqa_mini_0017_chunk_01,Giuseppe Verdi|Ambroise Thomas|Giuseppe Verdi (film),0.626479|0.571273|0.520919,hotpotqa_mini_0017_chunk_03|hotpotqa_mini_0017_chunk_05,True,1.0,0.6666666666666666,1.0,1.0,entertainment,comparison,hard,yes,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?
hotpotqa_mini_0018,This singer of A Rather Blustery Day also voiced what hedgehog?,2,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_08,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_03|hotpotqa_mini_0018_chunk_08,Jim Cummings|Kate Higgins|A Rather Blustery Day,0.549873|0.456876|0.428137,hotpotqa_mini_0018_chunk_05|hotpotqa_mini_0018_chunk_08,True,1.0,0.6666666666666666,1.0,1.0,entertainment,bridge,hard,Sonic,This singer of A Rather Blustery Day also voiced what hedgehog?
hotpotqa_mini_0019,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",2,hotpotqa_mini_0019_chunk_00|hotpotqa_mini_0019_chunk_06,hotpotqa_mini_0019_chunk_00|hotpotqa_mini_0019_chunk_07|hotpotqa_mini_0019_chunk_02,Wolf Alice|The Hour of Bewilderbeast|Badly Drawn Boy discography,0.345747|0.305418|0.305003,hotpotqa_mini_0019_chunk_00,True,0.5,0.3333333333333333,1.0,1.0,entertainment,comparison,hard,Badly Drawn Boy,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?"
