group_type,group,n,answer_accuracy,exact_match_rate,contains_gold_answer_rate,avg_token_f1,valid_format_rate,run_error_rate,abstention_rate,wrong_abstention_rate,manual_review_rate,retrieval_hit_gold_rate,retrieval_full_recall_rate,avg_retrieval_recall,avg_retrieval_precision,avg_confidence,avg_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,error_type_counts
overall,all,20,0.55,0.25,0.55,0.410135,1.0,0.0,0.45,0.45,0.0,1.0,0.55,0.775,0.3100000000000001,0.554,6.5939499999999995,1089.25,174.7,1263.95,"{'correct': 11, 'wrong_abstention_with_partial_retrieval': 8, 'wrong_abstention_despite_full_retrieval': 1}"
topic,entertainment,10,0.6,0.4,0.6,0.45333000000000007,1.0,0.0,0.4,0.4,0.0,1.0,0.5,0.75,0.3,0.548,6.8705,1027.9,175.2,1203.1,"{'correct': 6, 'wrong_abstention_with_partial_retrieval': 4}"
topic,geography,10,0.5,0.1,0.5,0.36694,1.0,0.0,0.5,0.5,0.0,1.0,0.6,0.8,0.32,0.5599999999999999,6.3174,1150.6,174.2,1324.8,"{'correct': 5, 'wrong_abstention_with_partial_retrieval': 4, 'wrong_abstention_despite_full_retrieval': 1}"
hotpot_type,bridge,13,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.4520538461538462,1.0,0.0,0.46153846153846156,0.46153846153846156,0.0,1.0,0.46153846153846156,0.7307692307692307,0.2923076923076924,0.51,6.4427692307692315,1106.923076923077,140.92307692307693,1247.8461538461538,"{'correct': 7, 'wrong_abstention_with_partial_retrieval': 6}"
hotpot_type,comparison,7,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.33228571428571424,1.0,0.0,0.42857142857142855,0.42857142857142855,0.0,1.0,0.7142857142857143,0.8571428571428571,0.34285714285714286,0.6357142857142858,6.874714285714285,1056.4285714285713,237.42857142857142,1293.857142857143,"{'correct': 4, 'wrong_abstention_with_partial_retrieval': 2, 'wrong_abstention_despite_full_retrieval': 1}"
level,hard,20,0.55,0.25,0.55,0.410135,1.0,0.0,0.45,0.45,0.0,1.0,0.55,0.775,0.3100000000000001,0.554,6.5939499999999995,1089.25,174.7,1263.95,"{'correct': 11, 'wrong_abstention_with_partial_retrieval': 8, 'wrong_abstention_despite_full_retrieval': 1}"
top_k,5,20,0.55,0.25,0.55,0.410135,1.0,0.0,0.45,0.45,0.0,1.0,0.55,0.775,0.3100000000000001,0.554,6.5939499999999995,1089.25,174.7,1263.95,"{'correct': 11, 'wrong_abstention_with_partial_retrieval': 8, 'wrong_abstention_despite_full_retrieval': 1}"
topic_hotpot_type,entertainment::bridge,7,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.4857142857142857,1.0,0.0,0.42857142857142855,0.42857142857142855,0.0,1.0,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.5399999999999999,7.124,1062.857142857143,158.0,1220.857142857143,"{'correct': 4, 'wrong_abstention_with_partial_retrieval': 3}"
topic_hotpot_type,entertainment::comparison,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.37776666666666664,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5666666666666667,6.279,946.3333333333334,215.33333333333334,1161.6666666666667,"{'correct': 2, 'wrong_abstention_with_partial_retrieval': 1}"
topic_hotpot_type,geography::bridge,6,0.5,0.16666666666666666,0.5,0.41278333333333334,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.75,0.3,0.4749999999999999,5.648,1158.3333333333333,121.0,1279.3333333333333,"{'wrong_abstention_with_partial_retrieval': 3, 'correct': 3}"
topic_hotpot_type,geography::comparison,4,0.5,0.0,0.5,0.29817499999999997,1.0,0.0,0.5,0.5,0.0,1.0,0.75,0.875,0.35,0.6875,7.3215,1139.0,254.0,1393.0,"{'correct': 2, 'wrong_abstention_with_partial_retrieval': 1, 'wrong_abstention_despite_full_retrieval': 1}"
