id,dataset,case_type,topic,hotpot_type,level,source,source_split,original_hotpotqa_id,original_question,question,prompt,expected_answer,gold_answer,gold_answer_text,expected_behavior,correct_answers_json,incorrect_answers_json,gold_evidence_ids,gold_evidence_titles,context_chunk_ids,expected_model_output_format
hotpotqa_mini_0000,hotpotqa,open_qa,geography,comparison,hard,HotpotQA distractor via Hugging Face,validation,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",no,no,no,answer,"[""no""]",[],hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06,Esma Sultan Mansion|Laleli Mosque,hotpotqa_mini_0000_chunk_00|hotpotqa_mini_0000_chunk_01|hotpotqa_mini_0000_chunk_02|hotpotqa_mini_0000_chunk_03|hotpotqa_mini_0000_chunk_04|hotpotqa_mini_0000_chunk_05|hotpotqa_mini_0000_chunk_06|hotpotqa_mini_0000_chunk_07|hotpotqa_mini_0000_chunk_08|hotpotqa_mini_0000_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0001,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Greenwich Village, New York City","Greenwich Village, New York City","Greenwich Village, New York City",answer,"[""Greenwich Village, New York City""]",[],hotpotqa_mini_0001_chunk_03|hotpotqa_mini_0001_chunk_09,Adriana Trigiani|Big Stone Gap (film),hotpotqa_mini_0001_chunk_00|hotpotqa_mini_0001_chunk_01|hotpotqa_mini_0001_chunk_02|hotpotqa_mini_0001_chunk_03|hotpotqa_mini_0001_chunk_04|hotpotqa_mini_0001_chunk_05|hotpotqa_mini_0001_chunk_06|hotpotqa_mini_0001_chunk_07|hotpotqa_mini_0001_chunk_08|hotpotqa_mini_0001_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0002,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
The arena where the Lewiston Maineiacs played their home games can seat how many people?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
The arena where the Lewiston Maineiacs played their home games can seat how many people?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","3,677 seated","3,677 seated","3,677 seated",answer,"[""3,677 seated""]",[],hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_07,Androscoggin Bank Colisée|Lewiston Maineiacs,hotpotqa_mini_0002_chunk_00|hotpotqa_mini_0002_chunk_01|hotpotqa_mini_0002_chunk_02|hotpotqa_mini_0002_chunk_03|hotpotqa_mini_0002_chunk_04|hotpotqa_mini_0002_chunk_05|hotpotqa_mini_0002_chunk_06|hotpotqa_mini_0002_chunk_07|hotpotqa_mini_0002_chunk_08|hotpotqa_mini_0002_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0003,hotpotqa,open_qa,geography,comparison,hard,HotpotQA distractor via Hugging Face,validation,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are Local H and For Against both from the United States?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are Local H and For Against both from the United States?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",yes,yes,yes,answer,"[""yes""]",[],hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_06,For Against|Local H,hotpotqa_mini_0003_chunk_00|hotpotqa_mini_0003_chunk_01|hotpotqa_mini_0003_chunk_02|hotpotqa_mini_0003_chunk_03|hotpotqa_mini_0003_chunk_04|hotpotqa_mini_0003_chunk_05|hotpotqa_mini_0003_chunk_06|hotpotqa_mini_0003_chunk_07|hotpotqa_mini_0003_chunk_08|hotpotqa_mini_0003_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0004,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",Kansas Song,Kansas Song,Kansas Song,answer,"[""Kansas Song""]",[],hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_09,Kansas Song|University of Kansas,hotpotqa_mini_0004_chunk_00|hotpotqa_mini_0004_chunk_01|hotpotqa_mini_0004_chunk_02|hotpotqa_mini_0004_chunk_03|hotpotqa_mini_0004_chunk_04|hotpotqa_mini_0004_chunk_05|hotpotqa_mini_0004_chunk_06|hotpotqa_mini_0004_chunk_07|hotpotqa_mini_0004_chunk_08|hotpotqa_mini_0004_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0005,hotpotqa,open_qa,geography,comparison,hard,HotpotQA distractor via Hugging Face,validation,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are Random House Tower and 888 7th Avenue both used for real estate?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Are Random House Tower and 888 7th Avenue both used for real estate?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",no,no,no,answer,"[""no""]",[],hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04,888 7th Avenue|Random House Tower,hotpotqa_mini_0005_chunk_00|hotpotqa_mini_0005_chunk_01|hotpotqa_mini_0005_chunk_02|hotpotqa_mini_0005_chunk_03|hotpotqa_mini_0005_chunk_04|hotpotqa_mini_0005_chunk_05|hotpotqa_mini_0005_chunk_06|hotpotqa_mini_0005_chunk_07|hotpotqa_mini_0005_chunk_08|hotpotqa_mini_0005_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0006,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","9,984","9,984","9,984",answer,"[""9,984""]",[],hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_09,"Brown County, Kansas|Brown State Fishing Lake",hotpotqa_mini_0006_chunk_00|hotpotqa_mini_0006_chunk_01|hotpotqa_mini_0006_chunk_02|hotpotqa_mini_0006_chunk_03|hotpotqa_mini_0006_chunk_04|hotpotqa_mini_0006_chunk_05|hotpotqa_mini_0006_chunk_06|hotpotqa_mini_0006_chunk_07|hotpotqa_mini_0006_chunk_08|hotpotqa_mini_0006_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0007,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",1969 until 1974,1969 until 1974,1969 until 1974,answer,"[""1969 until 1974""]",[],hotpotqa_mini_0007_chunk_02|hotpotqa_mini_0007_chunk_08,Richard Nixon|Roger O. Egeberg,hotpotqa_mini_0007_chunk_00|hotpotqa_mini_0007_chunk_01|hotpotqa_mini_0007_chunk_02|hotpotqa_mini_0007_chunk_03|hotpotqa_mini_0007_chunk_04|hotpotqa_mini_0007_chunk_05|hotpotqa_mini_0007_chunk_06|hotpotqa_mini_0007_chunk_07|hotpotqa_mini_0007_chunk_08|hotpotqa_mini_0007_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0008,hotpotqa,open_qa,geography,comparison,hard,HotpotQA distractor via Hugging Face,validation,5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Which writer was from England, Henry Roth or Robert Erskine Childers?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Which writer was from England, Henry Roth or Robert Erskine Childers?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",Robert Erskine Childers DSC,Robert Erskine Childers DSC,Robert Erskine Childers DSC,answer,"[""Robert Erskine Childers DSC""]",[],hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_06,Henry Roth|Robert Erskine Childers,hotpotqa_mini_0008_chunk_00|hotpotqa_mini_0008_chunk_01|hotpotqa_mini_0008_chunk_02|hotpotqa_mini_0008_chunk_03|hotpotqa_mini_0008_chunk_04|hotpotqa_mini_0008_chunk_05|hotpotqa_mini_0008_chunk_06|hotpotqa_mini_0008_chunk_07|hotpotqa_mini_0008_chunk_08|hotpotqa_mini_0008_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
hotpotqa_mini_0009,hotpotqa,open_qa,geography,bridge,hard,HotpotQA distractor via Hugging Face,validation,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,"Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}","Respondé la siguiente pregunta usando únicamente el contexto recuperado.

Reglas:
- Si el contexto recuperado no alcanza para responder, indicá que no hay información suficiente.
- Respondé de forma breve.
- Respondé únicamente con JSON válido.
- El campo ""answer"" debe contener tu respuesta final.
- El campo ""confidence"" debe ser un número entre 0 y 1.
- El campo ""abstained"" debe ser true si no hay evidencia suficiente; si no, false.

Pregunta:
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?

Formato obligatorio:
{
  ""answer"": ""..."",
  ""confidence"": 0.0,
  ""abstained"": false
}",Pedro Rodríguez,Pedro Rodríguez,Pedro Rodríguez,answer,"[""Pedro Rodríguez""]",[],hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_08,Formula One drivers from Mexico|Sergio Pérez,hotpotqa_mini_0009_chunk_00|hotpotqa_mini_0009_chunk_01|hotpotqa_mini_0009_chunk_02|hotpotqa_mini_0009_chunk_03|hotpotqa_mini_0009_chunk_04|hotpotqa_mini_0009_chunk_05|hotpotqa_mini_0009_chunk_06|hotpotqa_mini_0009_chunk_07|hotpotqa_mini_0009_chunk_08|hotpotqa_mini_0009_chunk_09,"{""answer"": str, ""confidence"": float, ""abstained"": bool}"
